
AtomID," First Name Middle Name Last Name[Author] AND (endocrinology OR diabetes) ",0
28894," NEIL JAMES GOLDBERG[Author] AND (endocrinology OR diabetes) ",0
29472," VIVIAN ODETTE RODRIGUEZ  GONZALEZ[Author] AND (endocrinology OR diabetes) ",0
29492," JOHN JOSEPH JANICK[Author] AND (endocrinology OR diabetes) ",0
29678," ANDRES  LARA[Author] AND (endocrinology OR diabetes) ",0
30582," ROBERT C GALAGAN[Author] AND (endocrinology OR diabetes) ",0
30590," WILLA  HSUEH[Author] AND (endocrinology OR diabetes) ",55
30597," NEIL IRVING KAMINSKY[Author] AND (endocrinology OR diabetes) ",0
30683," BOBBY NELSON JOHNSON[Author] AND (endocrinology OR diabetes) ",0
30741," LARRY T BRICE[Author] AND (endocrinology OR diabetes) ",0
30748," RONALD BYRON GOLDBERG[Author] AND (endocrinology OR diabetes) ",0
30818," CHRIS K GUERIN[Author] AND (endocrinology OR diabetes) ",0
30874," STEPHEN H SHERRY[Author] AND (endocrinology OR diabetes) ",0
30966," HARVAN  NAHMIAS[Author] AND (endocrinology OR diabetes) ",0
31078," MARCO  CORALLO[Author] AND (endocrinology OR diabetes) ",0
31177," SCOTT A BROCK[Author] AND (endocrinology OR diabetes) ",0
31355," THOMAS Darice DAYSPRING[Author] AND (endocrinology OR diabetes) ",0
31426," XIAODAN  QU[Author] AND (endocrinology OR diabetes) ",1
31457," KEVIN Jon WILLIAMS[Author] AND (endocrinology OR diabetes) ",14
31458," PETER WYMAN WILSON[Author] AND (endocrinology OR diabetes) ",0
32404," Ernst JOHN SCHAEFER[Author] AND (endocrinology OR diabetes) ",0
32441," Joseph L. WITZTUM[Author] AND (endocrinology OR diabetes) ",15
32446," JAMES Russell Sowers[Author] AND (endocrinology OR diabetes) ",0
32464," Alan - Chait[Author] AND (endocrinology OR diabetes) ",32
32498," Harold EDWARD BAYS[Author] AND (endocrinology OR diabetes) ",0
32511," Robert HAROLD ECKEL[Author] AND (endocrinology OR diabetes) ",0
32531," Lawrence  Chan[Author] AND (endocrinology OR diabetes) ",57
32549," Marian JERZY Rewers[Author] AND (endocrinology OR diabetes) ",0
32560," Steven MARK HAFFNER[Author] AND (endocrinology OR diabetes) ",0
32598," VIVIAN Andrew FONSECA[Author] AND (endocrinology OR diabetes) ",0
